ID;Example
1;/wiki/100_doors
2;/wiki/15_Puzzle_Game
3;/wiki/15_puzzle_solver
4;/wiki/2048
5;/wiki/24_game
6;/wiki/24_game/Solve
7;/wiki/4-rings_or_4-squares_puzzle
8;/wiki/9_billion_names_of_God_the_integer
9;/wiki/99_Bottles_of_Beer
10;/wiki/A%2BB
1001;/wiki/A*_search_algorithm
1002;/wiki/Abbreviations,_automatic
1003;/wiki/Abbreviations,_easy
1004;/wiki/Abbreviations,_simple
11;/wiki/ABC_Problem
12;/wiki/Abstract_type
13;/wiki/Abundant,_deficient_and_perfect_number_classifications
14;/wiki/Accumulator_factory
15;/wiki/Ackermann_function
16;/wiki/Active_Directory/Connect
17;/wiki/Active_Directory/Search_for_a_user
18;/wiki/Active_object
19;/wiki/Add_a_variable_to_a_class_instance_at_runtime
1005;/wiki/Addition_chains
1006;/wiki/Addition-chain_exponentiation
20;/wiki/Address_of_a_variable
21;/wiki/AKS_test_for_primes
22;/wiki/Align_columns
23;/wiki/Aliquot_sequence_classifications
24;/wiki/Almost_prime
25;/wiki/Amb
26;/wiki/Amicable_pairs
27;/wiki/Anagrams
28;/wiki/Anagrams/Deranged_anagrams
29;/wiki/Angle_difference_between_two_bearings
30;/wiki/Animate_a_pendulum
31;/wiki/Animation
32;/wiki/Anonymous_recursion
33;/wiki/Append_a_record_to_the_end_of_a_text_file
34;/wiki/Apply_a_callback_to_an_array
35;/wiki/Apply_a_digital_filter_(direct_form_II_transposed)
36;/wiki/Arbitrary-precision_integers_(included)
37;/wiki/Archimedean_spiral
38;/wiki/Arena_storage_pool
42;/wiki/Arithmetic/Complex
43;/wiki/Arithmetic/Integer
44;/wiki/Arithmetic/Rational
1007;/wiki/Arithmetic_coding/As_a_generalized_change_of_radix
39;/wiki/Arithmetic_evaluation
40;/wiki/Arithmetic-geometric_mean
41;/wiki/Arithmetic-geometric_mean/Calculate_Pi
45;/wiki/Array_concatenation
46;/wiki/Array_length
47;/wiki/Arrays
1008;/wiki/ASCII_art_diagram_converter
1009;/wiki/Aspect_Oriented_Programming
48;/wiki/Assertions
1010;/wiki/Assertions_in_design_by_contract
49;/wiki/Associative_array/Creation
50;/wiki/Associative_array/Iteration
51;/wiki/Atomic_updates
1011;/wiki/Audio_frequency_generator
1012;/wiki/Audio_Overlap_Loop
1013;/wiki/AudioAlarm
52;/wiki/Average_loop_length
53;/wiki/Averages/Arithmetic_mean
54;/wiki/Averages/Mean_angle
55;/wiki/Averages/Mean_time_of_day
56;/wiki/Averages/Median
57;/wiki/Averages/Mode
58;/wiki/Averages/Pythagorean_means
59;/wiki/Averages/Root_mean_square
60;/wiki/Averages/Simple_moving_average
61;/wiki/AVL_tree
62;/wiki/Babbage_problem
1014;/wiki/Bacon_cipher
63;/wiki/Balanced_brackets
64;/wiki/Balanced_ternary
1015;/wiki/Banker%27s_algorithm
65;/wiki/Barnsley_fern
1016;/wiki/Base58Check_encoding
1017;/wiki/Base64_encode_data
66;/wiki/Benford%27s_law
67;/wiki/Bernoulli_numbers
68;/wiki/Best_shuffle
1018;/wiki/Bilinear_interpolation
69;/wiki/Binary_digits
70;/wiki/Binary_search
71;/wiki/Binary_strings
1019;/wiki/Birthday_problem
72;/wiki/Bitcoin/address_validation
73;/wiki/Bitcoin/public_point_to_address
74;/wiki/Bitmap
76;/wiki/Bitmap/B%C3%A9zier_curves/Cubic
77;/wiki/Bitmap/B%C3%A9zier_curves/Quadratic
75;/wiki/Bitmap/Bresenham%27s_line_algorithm
78;/wiki/Bitmap/Flood_fill
79;/wiki/Bitmap/Histogram
80;/wiki/Bitmap/Midpoint_circle_algorithm
81;/wiki/Bitmap/PPM_conversion_through_a_pipe
82;/wiki/Bitmap/Read_a_PPM_file
83;/wiki/Bitmap/Read_an_image_through_a_pipe
84;/wiki/Bitmap/Write_a_PPM_file
85;/wiki/Bitwise_IO
86;/wiki/Bitwise_operations
1020;/wiki/Black_Box
1021;/wiki/Blackjack_strategy
1022;/wiki/Boids
87;/wiki/Boolean_values
88;/wiki/Box_the_compass
89;/wiki/Brace_expansion
90;/wiki/Break_OO_privacy
91;/wiki/Brownian_tree
92;/wiki/Bulls_and_cows
93;/wiki/Bulls_and_cows/Player
94;/wiki/Caesar_cipher
95;/wiki/Calendar
96;/wiki/Calendar_-_for_%22REAL%22_programmers
97;/wiki/Call_a_foreign-language_function
98;/wiki/Call_a_function
99;/wiki/Call_a_function_in_a_shared_library
100;/wiki/Call_an_object_method
101;/wiki/Canny_edge_detector
1023;/wiki/Card_shuffles
102;/wiki/Carmichael_3_strong_pseudoprimes
103;/wiki/Cartesian_product_of_two_or_more_lists
104;/wiki/Case-sensitivity_of_identifiers
105;/wiki/Casting_out_nines
106;/wiki/Catalan_numbers
107;/wiki/Catalan_numbers/Pascal%27s_triangle
108;/wiki/Catamorphism
109;/wiki/Catmull%E2%80%93Clark_subdivision_surface
110;/wiki/Chaos_game
111;/wiki/Character_codes
112;/wiki/Chat_server
1024;/wiki/Chebyshev_coefficients
1025;/wiki/Check_input_device_is_a_terminal
113;/wiki/Check_Machin-like_formulas
1026;/wiki/Check_output_device_is_a_terminal
114;/wiki/Check_that_file_exists
115;/wiki/Checkpoint_synchronization
1027;/wiki/Chess_player
1028;/wiki/Chess_player/Move_generation
1029;/wiki/Chess_player/Program_options_and_user_interface
1030;/wiki/Chess_player/Search_and_evaluation
116;/wiki/Chinese_remainder_theorem
117;/wiki/Chinese_zodiac
118;/wiki/Cholesky_decomposition
1031;/wiki/Cipolla%27s_algorithm
119;/wiki/Circles_of_given_radius_through_two_points
120;/wiki/Classes
121;/wiki/Closest-pair_problem
122;/wiki/Closures/Value_capture
1032;/wiki/Code_segment_unload
123;/wiki/Collections
124;/wiki/Color_of_a_screen_pixel
125;/wiki/Color_quantization
1033;/wiki/Color_wheel
126;/wiki/Colour_bars/Display
127;/wiki/Colour_pinstripe/Display
128;/wiki/Colour_pinstripe/Printer
129;/wiki/Combinations
130;/wiki/Combinations_and_permutations
131;/wiki/Combinations_with_repetitions
1034;/wiki/Combinations_with_repetitions/Square_Digit_Chain
132;/wiki/Comma_quibbling
133;/wiki/Command-line_arguments
134;/wiki/Commatizing_numbers
135;/wiki/Comments
136;/wiki/Compare_a_list_of_strings
137;/wiki/Compare_sorting_algorithms%27_performance
139;/wiki/Compiler/AST_interpreter
140;/wiki/Compiler/code_generator
141;/wiki/Compiler/lexical_analyzer
142;/wiki/Compiler/syntax_analyzer
143;/wiki/Compiler/virtual_machine_interpreter
138;/wiki/Compile-time_calculation
144;/wiki/Compound_data_type
145;/wiki/Concurrent_computing
146;/wiki/Conditional_structures
147;/wiki/Conjugate_transpose
148;/wiki/Constrained_genericity
149;/wiki/Constrained_random_points_on_a_circle
150;/wiki/Continued_fraction
151;/wiki/Continued_fraction/Arithmetic/Construct_from_rational_number
1035;/wiki/Continued_fraction/Arithmetic/G(matrix_NG,_Contined_Fraction_N)
1036;/wiki/Continued_fraction/Arithmetic/G(matrix_NG,_Contined_Fraction_N1,_Contined_Fraction_N2)
152;/wiki/Convert_decimal_number_to_rational
153;/wiki/Convert_seconds_to_compound_duration
1037;/wiki/Convex_hull
154;/wiki/Conway%27s_Game_of_Life
155;/wiki/Copy_a_string
156;/wiki/Count_in_factors
157;/wiki/Count_in_octal
158;/wiki/Count_occurrences_of_a_substring
159;/wiki/Count_the_coins
160;/wiki/Cramer%27s_rule
161;/wiki/CRC-32
162;/wiki/Create_a_file
163;/wiki/Create_a_file_on_magnetic_tape
164;/wiki/Create_a_two-dimensional_array_at_runtime
165;/wiki/Create_an_HTML_table
1038;/wiki/Create_an_object/Native_demonstration
166;/wiki/Create_an_object_at_a_given_address
167;/wiki/CSV_data_manipulation
168;/wiki/CSV_to_HTML_translation
169;/wiki/Cumulative_standard_deviation
1039;/wiki/Currency
170;/wiki/Currying
171;/wiki/CUSIP
172;/wiki/Cut_a_rectangle
1040;/wiki/Cycle_detection
1041;/wiki/Damm_algorithm
1042;/wiki/Data_Encryption_Standard
173;/wiki/Date_format
174;/wiki/Date_manipulation
175;/wiki/Day_of_the_week
176;/wiki/Deal_cards_for_FreeCell
177;/wiki/Death_Star
1043;/wiki/Decimal_floating_point_number_to_binary
1044;/wiki/Decision_tables
178;/wiki/Deconvolution/1D
179;/wiki/Deconvolution/2D%2B
180;/wiki/Deepcopy
181;/wiki/Define_a_primitive_data_type
182;/wiki/Delegates
183;/wiki/Delete_a_file
1045;/wiki/Deming%27s_Funnel
184;/wiki/Department_Numbers
185;/wiki/Detect_division_by_zero
186;/wiki/Determine_if_a_string_is_numeric
187;/wiki/Determine_if_only_one_instance_is_running
1046;/wiki/Determine_if_two_triangles_overlap
1047;/wiki/Dice_game_probabilities
188;/wiki/Digital_root
189;/wiki/Digital_root/Multiplicative_digital_root
1048;/wiki/Dijkstra%27s_algorithm
190;/wiki/Dinesman%27s_multiple-dwelling_problem
191;/wiki/Dining_philosophers
192;/wiki/Discordian_date
1049;/wiki/Display_a_linear_combination
193;/wiki/Distributed_programming
1050;/wiki/Diversity_prediction_theorem
194;/wiki/DNS_query
195;/wiki/Documentation
196;/wiki/Dot_product
197;/wiki/Doubly-linked_list/Definition
198;/wiki/Doubly-linked_list/Element_definition
199;/wiki/Doubly-linked_list/Element_insertion
200;/wiki/Doubly-linked_list/Traversal
201;/wiki/Dragon_curve
202;/wiki/Draw_a_clock
203;/wiki/Draw_a_cuboid
204;/wiki/Draw_a_rotating_cube
205;/wiki/Draw_a_sphere
206;/wiki/Dutch_national_flag_problem
207;/wiki/Dynamic_variable_names
208;/wiki/Echo_server
1051;/wiki/Eertree
209;/wiki/Egyptian_division
210;/wiki/Egyptian_fractions
212;/wiki/Elementary_cellular_automaton
1052;/wiki/Elementary_cellular_automaton/Infinite_length
1053;/wiki/Elementary_cellular_automaton/Random_Number_Generator
211;/wiki/Element-wise_operations
1054;/wiki/Elliptic_curve_arithmetic
213;/wiki/Emirp_primes
214;/wiki/Empty_directory
215;/wiki/Empty_program
216;/wiki/Empty_string
217;/wiki/Enforced_immutability
218;/wiki/Entropy
219;/wiki/Entropy/Narcissist
220;/wiki/Enumerations
221;/wiki/Environment_variables
222;/wiki/Equilibrium_index
223;/wiki/Ethiopian_multiplication
225;/wiki/Euler%27s_sum_of_powers_conjecture
224;/wiki/Euler_method
226;/wiki/Evaluate_binomial_coefficients
227;/wiki/Even_or_odd
228;/wiki/Events
229;/wiki/Evolutionary_algorithm
230;/wiki/Exceptions
231;/wiki/Exceptions/Catch_an_exception_thrown_in_a_nested_call
232;/wiki/Executable_library
233;/wiki/Execute_a_Markov_algorithm
234;/wiki/Execute_a_system_command
235;/wiki/Execute_Brain****
236;/wiki/Execute_HQ9%2B
237;/wiki/Execute_SNUSP
238;/wiki/Exponentiation_operator
239;/wiki/Exponentiation_order
240;/wiki/Extend_your_language
241;/wiki/Extensible_prime_generator
1055;/wiki/External_sort
1056;/wiki/Extract_file_extension
242;/wiki/Extreme_floating_point_values
243;/wiki/Factorial
244;/wiki/Factors_of_a_Mersenne_number
245;/wiki/Factors_of_an_integer
246;/wiki/Farey_sequence
247;/wiki/Fast_Fourier_transform
248;/wiki/FASTA_format
1057;/wiki/Faulhaber%27s_formula
1058;/wiki/Faulhaber%27s_triangle
1059;/wiki/Fibonacci_heap
249;/wiki/Fibonacci_n-step_number_sequences
250;/wiki/Fibonacci_sequence
251;/wiki/Fibonacci_word
252;/wiki/Fibonacci_word/fractal
1060;/wiki/File_extension_is_in_extensions_list
253;/wiki/File_input/output
254;/wiki/File_modification_time
255;/wiki/File_size
1061;/wiki/File_size_distribution
256;/wiki/Filter
257;/wiki/Find_common_directory_path
1062;/wiki/Find_duplicate_files
1063;/wiki/Find_first_and_last_set_bit_of_a_long_integer
258;/wiki/Find_largest_left_truncatable_prime_in_a_given_base
259;/wiki/Find_limit_of_recursion
260;/wiki/Find_palindromic_numbers_in_both_binary_and_ternary_bases
261;/wiki/Find_the_intersection_of_a_line_with_a_plane
262;/wiki/Find_the_intersection_of_two_lines
263;/wiki/Find_the_last_Sunday_of_each_month
264;/wiki/Find_the_missing_permutation
1064;/wiki/Find_URI_in_text
1065;/wiki/Finite_state_machine
265;/wiki/First_class_environments
266;/wiki/First-class_functions
267;/wiki/First-class_functions/Use_numbers_analogously
268;/wiki/Five_weekends
269;/wiki/FizzBuzz
270;/wiki/Flatten_a_list
271;/wiki/Flipping_bits_game
272;/wiki/Flow-control_structures
273;/wiki/Floyd%27s_triangle
274;/wiki/Floyd-Warshall_algorithm
275;/wiki/Forest_fire
276;/wiki/Fork
277;/wiki/Formal_power_series
278;/wiki/Formatted_numeric_output
279;/wiki/Forward_difference
280;/wiki/Four_bit_adder
1066;/wiki/Four_is_magic
1067;/wiki/Four_is_the_number_of_letters_in_the_...
281;/wiki/Fractal_tree
282;/wiki/Fractran
1068;/wiki/Free_polyominoes_enumeration
1069;/wiki/French_Republican_calendar
283;/wiki/FTP
284;/wiki/Function_composition
285;/wiki/Function_definition
286;/wiki/Function_frequency
287;/wiki/Function_prototype
1070;/wiki/Functional_coverage_tree
288;/wiki/Galton_box_animation
289;/wiki/Gamma_function
290;/wiki/Gaussian_elimination
291;/wiki/General_FizzBuzz
1071;/wiki/Generalised_floating_point_addition
1072;/wiki/Generalised_floating_point_multiplication
292;/wiki/Generate_Chess960_starting_position
293;/wiki/Generate_lower_case_ASCII_alphabet
1073;/wiki/Generate_random_chess_position
294;/wiki/Generator/Exponential
295;/wiki/Generic_swap
1074;/wiki/Geometric_algebra
296;/wiki/Get_system_command_output
297;/wiki/Globally_replace_text_in_several_files
298;/wiki/Go_Fish
299;/wiki/Gray_code
300;/wiki/Grayscale_image
301;/wiki/Greatest_common_divisor
302;/wiki/Greatest_element_of_a_list
303;/wiki/Greatest_subsequential_sum
1075;/wiki/Greed
304;/wiki/Greyscale_bars/Display
305;/wiki/Guess_the_number
306;/wiki/Guess_the_number/With_feedback
307;/wiki/Guess_the_number/With_feedback_(player)
310;/wiki/GUI/Maximum_window_dimensions
308;/wiki/GUI_component_interaction
309;/wiki/GUI_enabling/disabling_of_controls
311;/wiki/Hailstone_sequence
312;/wiki/Hamming_numbers
313;/wiki/Handle_a_signal
314;/wiki/Happy_numbers
315;/wiki/Harshad_or_Niven_series
316;/wiki/Hash_from_two_arrays
317;/wiki/Hash_join
318;/wiki/Haversine_formula
319;/wiki/Hello_world/Graphical
320;/wiki/Hello_world/Line_printer
321;/wiki/Hello_world/Newbie
322;/wiki/Hello_world/Newline_omission
323;/wiki/Hello_world/Standard_error
324;/wiki/Hello_world/Text
325;/wiki/Hello_world/Web_server
326;/wiki/Here_document
327;/wiki/Heronian_triangles
1076;/wiki/Hexapawn
328;/wiki/Hickerson_series_of_almost_integers
329;/wiki/Higher-order_functions
330;/wiki/History_variables
331;/wiki/Hofstadter_Figure-Figure_sequences
332;/wiki/Hofstadter_Q_sequence
333;/wiki/Hofstadter-Conway_$10,000_sequence
334;/wiki/Holidays_related_to_Easter
335;/wiki/Honeycombs
336;/wiki/Horizontal_sundial_calculations
337;/wiki/Horner%27s_rule_for_polynomial_evaluation
338;/wiki/Host_introspection
339;/wiki/Hostname
340;/wiki/Hough_transform
341;/wiki/HTTP
