ID;Example
1;/wiki/A*_search_algorithm
2;/wiki/Abbreviations,_automatic
3;/wiki/Abbreviations,_easy
4;/wiki/Abbreviations,_simple
5;/wiki/Addition_chains
6;/wiki/Addition-chain_exponentiation
7;/wiki/Arithmetic_coding/As_a_generalized_change_of_radix
8;/wiki/ASCII_art_diagram_converter
9;/wiki/Aspect_Oriented_Programming
10;/wiki/Assertions_in_design_by_contract
11;/wiki/Audio_frequency_generator
12;/wiki/Audio_Overlap_Loop
13;/wiki/AudioAlarm
14;/wiki/Bacon_cipher
15;/wiki/Banker%27s_algorithm
16;/wiki/Base58Check_encoding
17;/wiki/Base64_encode_data
18;/wiki/Bilinear_interpolation
19;/wiki/Birthday_problem
20;/wiki/Black_Box
21;/wiki/Blackjack_strategy
22;/wiki/Boids
23;/wiki/Card_shuffles
24;/wiki/Chebyshev_coefficients
25;/wiki/Check_input_device_is_a_terminal
26;/wiki/Check_output_device_is_a_terminal
27;/wiki/Chess_player
28;/wiki/Chess_player/Move_generation
29;/wiki/Chess_player/Program_options_and_user_interface
30;/wiki/Chess_player/Search_and_evaluation
31;/wiki/Cipolla%27s_algorithm
32;/wiki/Code_segment_unload
33;/wiki/Color_wheel
34;/wiki/Combinations_with_repetitions/Square_Digit_Chain
35;/wiki/Continued_fraction/Arithmetic/G(matrix_NG,_Contined_Fraction_N)
36;/wiki/Continued_fraction/Arithmetic/G(matrix_NG,_Contined_Fraction_N1,_Contined_Fraction_N2)
37;/wiki/Convex_hull
38;/wiki/Create_an_object/Native_demonstration
39;/wiki/Currency
40;/wiki/Cycle_detection
41;/wiki/Damm_algorithm
42;/wiki/Data_Encryption_Standard
43;/wiki/Decimal_floating_point_number_to_binary
44;/wiki/Decision_tables
45;/wiki/Deming%27s_Funnel
46;/wiki/Determine_if_two_triangles_overlap
47;/wiki/Dice_game_probabilities
48;/wiki/Dijkstra%27s_algorithm
49;/wiki/Display_a_linear_combination
50;/wiki/Diversity_prediction_theorem
51;/wiki/Eertree
52;/wiki/Elementary_cellular_automaton/Infinite_length
53;/wiki/Elementary_cellular_automaton/Random_Number_Generator
54;/wiki/Elliptic_curve_arithmetic
55;/wiki/External_sort
56;/wiki/Extract_file_extension
57;/wiki/Faulhaber%27s_formula
58;/wiki/Faulhaber%27s_triangle
59;/wiki/Fibonacci_heap
60;/wiki/File_extension_is_in_extensions_list
61;/wiki/File_size_distribution
62;/wiki/Find_duplicate_files
63;/wiki/Find_first_and_last_set_bit_of_a_long_integer
64;/wiki/Find_URI_in_text
65;/wiki/Finite_state_machine
66;/wiki/Four_is_magic
67;/wiki/Four_is_the_number_of_letters_in_the_...
68;/wiki/Free_polyominoes_enumeration
69;/wiki/French_Republican_calendar
70;/wiki/Functional_coverage_tree
71;/wiki/Generalised_floating_point_addition
72;/wiki/Generalised_floating_point_multiplication
73;/wiki/Generate_random_chess_position
74;/wiki/Geometric_algebra
75;/wiki/Greed
76;/wiki/Hexapawn
77;/wiki/I.Q._Puzzle
78;/wiki/Idiomatically_determine_all_the_characters_that_can_be_used_for_symbols
79;/wiki/Idiomatically_determine_all_the_lowercase_and_uppercase_letters
80;/wiki/Imaginary_base_numbers
81;/wiki/Implicit_type_conversion
82;/wiki/Index_finite_lists_of_positive_integers
83;/wiki/Input/Output_for_Lines_of_Text
84;/wiki/Input/Output_for_Pairs_of_Numbers
85;/wiki/Integer_roots
86;/wiki/IPC_via_named_pipe
87;/wiki/IRC_gateway
88;/wiki/Just_in_time_processing_on_a_character_stream
89;/wiki/Kahan_summation
90;/wiki/Knuth%27s_power_tree
91;/wiki/Kosaraju
92;/wiki/Largest_number_divisible_by_its_digits
93;/wiki/Levenshtein_distance/Alignment
94;/wiki/Linux_CPU_utilization
95;/wiki/List_rooted_trees
96;/wiki/Longest_common_prefix
97;/wiki/Longest_Common_Substring
98;/wiki/Make_a_backup_file
99;/wiki/Markov_chain_text_generator
100;/wiki/Mastermind
101;/wiki/Mersenne_primes
